"param","estimate","lower_bound","upper_bound","model"
"other~1",0.247224323801631,0.203435618702153,0.291013028901108,"mi"
"white~~other",-0.207131423581723,-0.243304093535168,-0.170958753628277,"mi"
"rum_int~~rum_slope",-0.358058010107295,-0.514165777395215,-0.201950242819375,"mi"
"mj_int~~mj_slope",0.553900696450043,0.418844246429022,0.688957146471064,"mi"
"rum_int~~rum_int",0.999040507567537,0.996026223975915,1.00205479115916,"mi"
"rum_slope~~rum_slope",0.984457754178683,0.947034235082775,1.02188127327459,"mi"
"mj_int~~mj_int",0.935905196302924,0.862998523843213,1.00881186876264,"mi"
"mj_slope~~mj_slope",0.985703342195741,0.928751483194266,1.04265520119721,"mi"
"smw~1",0.289048232274528,0.224932434782974,0.353164029766082,"mi"
"RUMXSc_17~~RUMXSc_17",0.444601480903578,0.375263484028149,0.513939477779007,"mi"
"RUMXSc_18~~RUMXSc_18",0.467822264575084,0.429908662351276,0.505735866798893,"mi"
"RUMXSc_19~~RUMXSc_19",0.508568714799678,0.466925229173988,0.550212200425368,"mi"
"RUMXSc_20~~RUMXSc_20",0.463098864662876,0.373712549279572,0.55248518004618,"mi"
"nadu_mj_18~~nadu_mj_18",0.286197673881272,0.123876771921454,0.448518575841089,"mi"
"nadu_mj_19~~nadu_mj_19",0.390857896398301,0.329358329458465,0.452357463338137,"mi"
"nadu_mj_20~~nadu_mj_20",0.288740625609206,0.159816140558,0.417665110660412,"mi"
"smw~~smw",0.997729429761052,0.993557420779715,1.00190143874239,"mi"
"rum_int~1",3.27831418564725,3.06900682225643,3.48762154903807,"mi"
"rum_slope~1",0.34129209581429,0.0465694571058303,0.63601473452275,"mi"
"mj_int~1",0.862592222093356,0.545846761263509,1.1793376829232,"mi"
"mj_slope~1",0.261615678778524,-0.1724313262516,0.695662683808648,"mi"
